order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
168990,Wired Headphones,1,11.99,2019-04-01 00:00:00,April,11.99,20201,2033,1634,17
175951,LG Dryer,1,600.0,2019-04-01 00:04:00,April,600.0,640,77,49,10
166250,Lightning Charging Cable,1,14.95,2019-04-01 00:11:00,April,14.95,22841,2348,1846,12
165007,34in Ultrawide Monitor,1,379.99,2019-04-01 00:12:00,April,379.99,6076,640,511,3
166567,34in Ultrawide Monitor,1,379.99,2019-04-01 00:12:00,April,379.99,6076,640,511,3
169191,27in FHD Monitor,1,149.99,2019-04-01 00:42:00,April,149.99,7429,726,606,2
174959,Bose SoundSport Headphones,1,99.99,2019-04-01 00:52:00,April,99.99,13236,1266,1180,7
168905,USB-C Charging Cable,1,11.95,2019-04-01 01:00:00,April,11.95,23555,2225,1907,15
168905,ThinkPad Laptop,1,999.99,2019-04-01 01:00:00,April,999.99,4054,386,338,14
162358,Flatscreen TV,1,300.0,2019-04-01 01:11:00,April,300.0,4724,453,352,8
162541,AAA Batteries (4-pack),2,2.99,2019-04-01 01:15:00,April,5.98,30487,2895,2418,5
167231,AAA Batteries (4-pack),1,2.99,2019-04-01 01:19:00,April,2.99,30487,2895,2418,5
169177,Macbook Pro Laptop,1,1700.0,2019-04-01 01:20:00,April,1700.0,4645,447,371,13
166309,AA Batteries (4-pack),1,3.84,2019-04-01 01:32:00,April,3.84,27148,2769,2176,4
175769,Bose SoundSport Headphones,1,99.99,2019-04-01 02:22:00,April,99.99,13236,1266,1180,7
167813,27in 4K Gaming Monitor,1,389.99,2019-04-01 02:42:00,April,389.99,6134,556,473,1
165622,Lightning Charging Cable,1,14.95,2019-04-01 02:59:00,April,14.95,22841,2348,1846,12
177831,Lightning Charging Cable,1,14.95,2019-04-01 03:09:00,April,14.95,22841,2348,1846,12
177687,Wired Headphones,1,11.99,2019-04-01 04:12:00,April,11.99,20201,2033,1634,17
186754,27in FHD Monitor,1,149.99,2019-04-01 05:06:00,April,149.99,7429,726,606,2
185103,USB-C Charging Cable,1,11.95,2019-04-01 05:18:00,April,11.95,23555,2225,1907,15
191585,20in Monitor,1,109.99,2019-04-01 05:58:00,April,109.99,4058,387,319,0
189813,Lightning Charging Cable,1,14.95,2019-04-01 06:02:00,April,14.95,22841,2348,1846,12
186650,AA Batteries (4-pack),1,3.84,2019-04-01 06:11:00,April,3.84,27148,2769,2176,4
178407,Lightning Charging Cable,1,14.95,2019-04-01 06:14:00,April,14.95,22841,2348,1846,12
184067,Wired Headphones,1,11.99,2019-04-01 06:18:00,April,11.99,20201,2033,1634,17
192285,USB-C Charging Cable,1,11.95,2019-04-01 06:23:00,April,11.95,23555,2225,1907,15
193992,AA Batteries (4-pack),1,3.84,2019-04-01 06:27:00,April,3.84,27148,2769,2176,4
181561,AA Batteries (4-pack),1,3.84,2019-04-01 06:42:00,April,3.84,27148,2769,2176,4
182960,Wired Headphones,1,11.99,2019-04-01 06:47:00,April,11.99,20201,2033,1634,17
