order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
283858,AA Batteries (4-pack),1,3.84,2019-12-01 00:02:00,December,3.84,27148,3672,2575,4
285731,AAA Batteries (4-pack),4,2.99,2019-12-01 00:02:00,December,11.96,30487,4188,2987,5
284978,Wired Headphones,1,11.99,2019-12-01 00:09:00,December,11.99,20201,2714,1903,17
284494,Bose SoundSport Headphones,1,99.99,2019-12-01 00:10:00,December,99.99,13236,1807,1232,7
288824,27in 4K Gaming Monitor,1,389.99,2019-12-01 00:16:00,December,389.99,6134,851,563,1
295636,AA Batteries (4-pack),2,3.84,2019-12-01 00:20:00,December,7.68,27148,3672,2575,4
289606,27in 4K Gaming Monitor,1,389.99,2019-12-01 00:26:00,December,389.99,6134,851,563,1
285102,27in 4K Gaming Monitor,1,389.99,2019-12-01 00:26:00,December,389.99,6134,851,563,1
280275,Lightning Charging Cable,1,14.95,2019-12-01 00:37:00,December,14.95,22841,3052,2179,12
294093,USB-C Charging Cable,1,11.95,2019-12-01 00:37:00,December,11.95,23555,3200,2216,15
293993,AAA Batteries (4-pack),1,2.99,2019-12-01 00:41:00,December,2.99,30487,4188,2987,5
289958,20in Monitor,1,109.99,2019-12-01 00:46:00,December,109.99,4058,563,418,0
292780,AA Batteries (4-pack),1,3.84,2019-12-01 00:46:00,December,3.84,27148,3672,2575,4
285579,Wired Headphones,1,11.99,2019-12-01 00:47:00,December,11.99,20201,2714,1903,17
287050,Flatscreen TV,1,300.0,2019-12-01 00:49:00,December,300.0,4724,657,455,8
294441,Wired Headphones,1,11.99,2019-12-01 00:52:00,December,11.99,20201,2714,1903,17
279095,AA Batteries (4-pack),2,3.84,2019-12-01 01:13:00,December,7.68,27148,3672,2575,4
283095,Flatscreen TV,1,300.0,2019-12-01 01:24:00,December,300.0,4724,657,455,8
290906,USB-C Charging Cable,1,11.95,2019-12-01 01:29:00,December,11.95,23555,3200,2216,15
292269,Wired Headphones,1,11.99,2019-12-01 01:30:00,December,11.99,20201,2714,1903,17
290233,Lightning Charging Cable,1,14.95,2019-12-01 01:40:00,December,14.95,22841,3052,2179,12
282675,27in 4K Gaming Monitor,1,389.99,2019-12-01 01:45:00,December,389.99,6134,851,563,1
293450,USB-C Charging Cable,1,11.95,2019-12-01 01:47:00,December,11.95,23555,3200,2216,15
294629,Wired Headphones,1,11.99,2019-12-01 01:54:00,December,11.99,20201,2714,1903,17
293713,Apple Airpods Headphones,1,150.0,2019-12-01 02:30:00,December,150.0,15383,2057,1483,6
280809,Lightning Charging Cable,1,14.95,2019-12-01 02:33:00,December,14.95,22841,3052,2179,12
293658,Lightning Charging Cable,1,14.95,2019-12-01 02:44:00,December,14.95,22841,3052,2179,12
301778,USB-C Charging Cable,1,11.95,2019-12-01 02:50:00,December,11.95,23555,3200,2216,15
309213,Google Phone,1,600.0,2019-12-01 03:10:00,December,600.0,5440,706,487,9
283689,AAA Batteries (4-pack),1,2.99,2019-12-01 03:28:00,December,2.99,30487,4188,2987,5
314587,34in Ultrawide Monitor,1,379.99,2019-12-01 04:06:00,December,379.99,6076,842,541,3
279982,Bose SoundSport Headphones,1,99.99,2019-12-01 04:07:00,December,99.99,13236,1807,1232,7
315501,Wired Headphones,1,11.99,2019-12-01 04:10:00,December,11.99,20201,2714,1903,17
312424,AAA Batteries (4-pack),1,2.99,2019-12-01 04:24:00,December,2.99,30487,4188,2987,5
299356,AAA Batteries (4-pack),1,2.99,2019-12-01 04:32:00,December,2.99,30487,4188,2987,5
296456,Apple Airpods Headphones,1,150.0,2019-12-01 04:48:00,December,150.0,15383,2057,1483,6
304408,Wired Headphones,1,11.99,2019-12-01 05:10:00,December,11.99,20201,2714,1903,17
315407,Bose SoundSport Headphones,1,99.99,2019-12-01 05:36:00,December,99.99,13236,1807,1232,7
299059,Apple Airpods Headphones,1,150.0,2019-12-01 05:47:00,December,150.0,15383,2057,1483,6
308111,AA Batteries (4-pack),1,3.84,2019-12-01 05:49:00,December,3.84,27148,3672,2575,4
300980,27in FHD Monitor,1,149.99,2019-12-01 06:16:00,December,149.99,7429,950,699,2
319522,Apple Airpods Headphones,1,150.0,2019-12-01 06:41:00,December,150.0,15383,2057,1483,6
300559,USB-C Charging Cable,1,11.95,2019-12-01 06:52:00,December,11.95,23555,3200,2216,15
309241,Lightning Charging Cable,1,14.95,2019-12-01 06:53:00,December,14.95,22841,3052,2179,12
300092,USB-C Charging Cable,1,11.95,2019-12-01 06:55:00,December,11.95,23555,3200,2216,15
304889,Vareebadd Phone,1,400.0,2019-12-01 07:01:00,December,400.0,2023,279,174,16
300206,Flatscreen TV,1,300.0,2019-12-01 07:03:00,December,300.0,4724,657,455,8
318590,USB-C Charging Cable,1,11.95,2019-12-01 07:03:00,December,11.95,23555,3200,2216,15
316119,34in Ultrawide Monitor,1,379.99,2019-12-01 07:05:00,December,379.99,6076,842,541,3
303436,Wired Headphones,1,11.99,2019-12-01 07:08:00,December,11.99,20201,2714,1903,17
314242,AA Batteries (4-pack),3,3.84,2019-12-01 07:11:00,December,11.52,27148,3672,2575,4
316145,Google Phone,1,600.0,2019-12-01 07:14:00,December,600.0,5440,706,487,9
312842,27in 4K Gaming Monitor,1,389.99,2019-12-01 07:14:00,December,389.99,6134,851,563,1
315032,AA Batteries (4-pack),3,3.84,2019-12-01 07:23:00,December,11.52,27148,3672,2575,4
304935,USB-C Charging Cable,1,11.95,2019-12-01 07:26:00,December,11.95,23555,3200,2216,15
306286,AA Batteries (4-pack),1,3.84,2019-12-01 07:27:00,December,3.84,27148,3672,2575,4
310571,USB-C Charging Cable,1,11.95,2019-12-01 07:29:00,December,11.95,23555,3200,2216,15
308583,USB-C Charging Cable,1,11.95,2019-12-01 07:31:00,December,11.95,23555,3200,2216,15
