order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
147663,Lightning Charging Cable,1,14.95,2019-02-01 00:33:00,February,14.95,22841,1447,1132,12
145212,Lightning Charging Cable,1,14.95,2019-02-01 00:36:00,February,14.95,22841,1447,1132,12
147309,Macbook Pro Laptop,1,1700.0,2019-02-01 01:01:00,February,1700.0,4645,272,233,13
146442,USB-C Charging Cable,1,11.95,2019-02-01 01:48:00,February,11.95,23555,1623,1265,15
160509,AAA Batteries (4-pack),2,2.99,2019-02-01 01:51:00,February,5.98,30487,1930,1562,5
148987,AA Batteries (4-pack),1,3.84,2019-02-01 02:16:00,February,3.84,27148,1699,1398,4
145372,AAA Batteries (4-pack),1,2.99,2019-02-01 04:02:00,February,2.99,30487,1930,1562,5
156889,USB-C Charging Cable,1,11.95,2019-02-01 04:25:00,February,11.95,23555,1623,1265,15
156342,USB-C Charging Cable,1,11.95,2019-02-01 05:39:00,February,11.95,23555,1623,1265,15
159193,USB-C Charging Cable,1,11.95,2019-02-01 05:50:00,February,11.95,23555,1623,1265,15
159327,AAA Batteries (4-pack),1,2.99,2019-02-01 06:14:00,February,2.99,30487,1930,1562,5
157845,iPhone,1,700.0,2019-02-01 06:28:00,February,700.0,6732,433,372,18
157845,Lightning Charging Cable,1,14.95,2019-02-01 06:28:00,February,14.95,22841,1447,1132,12
158703,LG Washing Machine,1,600.0,2019-02-01 06:50:00,February,600.0,649,39,39,11
156360,34in Ultrawide Monitor,1,379.99,2019-02-01 06:51:00,February,379.99,6076,409,305,3
153870,iPhone,1,700.0,2019-02-01 06:56:00,February,700.0,6732,433,372,18
159158,Bose SoundSport Headphones,1,99.99,2019-02-01 07:00:00,February,99.99,13236,829,644,7
156279,AAA Batteries (4-pack),1,2.99,2019-02-01 07:21:00,February,2.99,30487,1930,1562,5
161602,Wired Headphones,1,11.99,2019-02-01 07:28:00,February,11.99,20201,1257,1057,17
158365,AAA Batteries (4-pack),3,2.99,2019-02-01 07:32:00,February,8.97,30487,1930,1562,5
158168,Wired Headphones,1,11.99,2019-02-01 07:32:00,February,11.99,20201,1257,1057,17
156834,27in FHD Monitor,1,149.99,2019-02-01 07:40:00,February,149.99,7429,467,412,2
152623,USB-C Charging Cable,1,11.95,2019-02-01 07:47:00,February,11.95,23555,1623,1265,15
158878,27in 4K Gaming Monitor,1,389.99,2019-02-01 07:54:00,February,389.99,6134,415,308,1
155320,27in 4K Gaming Monitor,1,389.99,2019-02-01 07:57:00,February,389.99,6134,415,308,1
156833,Apple Airpods Headphones,1,150.0,2019-02-01 07:59:00,February,150.0,15383,990,798,6
161902,27in FHD Monitor,1,149.99,2019-02-01 08:08:00,February,149.99,7429,467,412,2
153492,USB-C Charging Cable,1,11.95,2019-02-01 08:13:00,February,11.95,23555,1623,1265,15
161881,USB-C Charging Cable,1,11.95,2019-02-01 08:22:00,February,11.95,23555,1623,1265,15
151317,Lightning Charging Cable,1,14.95,2019-02-01 08:25:00,February,14.95,22841,1447,1132,12
160700,20in Monitor,1,109.99,2019-02-01 08:26:00,February,109.99,4058,244,216,0
