order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded,short_product
147268,Wired Headphones,1,11.99,2019-01-01 03:07:00,January,11.99,20201,1057,2714,17,Wired Head
148041,USB-C Charging Cable,1,11.95,2019-01-01 03:40:00,January,11.95,23555,1265,3200,15,USB-C Char
149343,Apple Airpods Headphones,1,150.0,2019-01-01 04:56:00,January,150.0,15383,798,2057,6,Apple Airp
149964,AAA Batteries (4-pack),1,2.99,2019-01-01 05:53:00,January,2.99,30487,1562,4188,5,AAA Batter
149350,USB-C Charging Cable,2,11.95,2019-01-01 06:03:00,January,23.9,23555,1265,3200,15,USB-C Char
141732,iPhone,1,700.0,2019-01-01 06:13:00,January,700.0,6732,372,895,18,iPhone
149620,Lightning Charging Cable,1,14.95,2019-01-01 06:34:00,January,14.95,22841,1132,3052,12,Lightning 
142451,AAA Batteries (4-pack),1,2.99,2019-01-01 06:41:00,January,2.99,30487,1562,4188,5,AAA Batter
146039,34in Ultrawide Monitor,1,379.99,2019-01-01 07:24:00,January,379.99,6076,305,842,3,34in Ultra
141316,AAA Batteries (4-pack),3,2.99,2019-01-01 07:26:00,January,8.97,30487,1562,4188,5,AAA Batter
143498,AA Batteries (4-pack),3,3.84,2019-01-01 07:26:00,January,11.52,27148,1398,3672,4,AA Batteri
144804,Wired Headphones,1,11.99,2019-01-01 07:29:00,January,11.99,20201,1057,2714,17,Wired Head
144804,iPhone,1,700.0,2019-01-01 07:29:00,January,700.0,6732,372,895,18,iPhone
145270,Google Phone,1,600.0,2019-01-01 07:33:00,January,600.0,5440,312,706,9,Google Pho
142789,AAA Batteries (4-pack),1,2.99,2019-01-01 07:35:00,January,2.99,30487,1562,4188,5,AAA Batter
148088,Wired Headphones,1,11.99,2019-01-01 07:37:00,January,11.99,20201,1057,2714,17,Wired Head
141364,AA Batteries (4-pack),1,3.84,2019-01-01 07:46:00,January,3.84,27148,1398,3672,4,AA Batteri
149586,USB-C Charging Cable,1,11.95,2019-01-01 07:47:00,January,11.95,23555,1265,3200,15,USB-C Char
145878,Macbook Pro Laptop,1,1700.0,2019-01-01 07:48:00,January,1700.0,4645,233,636,13,Macbook Pr
146056,Lightning Charging Cable,1,14.95,2019-01-01 07:53:00,January,14.95,22841,1132,3052,12,Lightning 
144994,ThinkPad Laptop,1,999.99,2019-01-01 08:13:00,January,999.99,4054,214,531,14,ThinkPad L
142156,34in Ultrawide Monitor,1,379.99,2019-01-01 08:16:00,January,379.99,6076,305,842,3,34in Ultra
150367,Lightning Charging Cable,1,14.95,2019-01-01 08:25:00,January,14.95,22841,1132,3052,12,Lightning 
149421,Wired Headphones,1,11.99,2019-01-01 08:31:00,January,11.99,20201,1057,2714,17,Wired Head
143763,Apple Airpods Headphones,1,150.0,2019-01-01 08:44:00,January,150.0,15383,798,2057,6,Apple Airp
145082,AAA Batteries (4-pack),3,2.99,2019-01-01 08:48:00,January,8.97,30487,1562,4188,5,AAA Batter
145990,AAA Batteries (4-pack),1,2.99,2019-01-01 09:03:00,January,2.99,30487,1562,4188,5,AAA Batter
150394,AAA Batteries (4-pack),1,2.99,2019-01-01 09:08:00,January,2.99,30487,1562,4188,5,AAA Batter
142193,27in FHD Monitor,1,149.99,2019-01-01 09:08:00,January,149.99,7429,412,950,2,27in FHD M
144537,Bose SoundSport Headphones,1,99.99,2019-01-01 09:12:00,January,99.99,13236,644,1807,7,Bose Sound
147519,AAA Batteries (4-pack),2,2.99,2019-01-01 09:18:00,January,5.98,30487,1562,4188,5,AAA Batter
146459,Lightning Charging Cable,2,14.95,2019-01-01 09:21:00,January,29.9,22841,1132,3052,12,Lightning 
142134,Google Phone,1,600.0,2019-01-01 09:23:00,January,600.0,5440,312,706,9,Google Pho
149926,iPhone,1,700.0,2019-01-01 09:33:00,January,700.0,6732,372,895,18,iPhone
146112,USB-C Charging Cable,1,11.95,2019-01-01 09:36:00,January,11.95,23555,1265,3200,15,USB-C Char
150393,Lightning Charging Cable,1,14.95,2019-01-01 09:37:00,January,14.95,22841,1132,3052,12,Lightning 
149378,AA Batteries (4-pack),2,3.84,2019-01-01 09:38:00,January,7.68,27148,1398,3672,4,AA Batteri
147758,USB-C Charging Cable,1,11.95,2019-01-01 09:48:00,January,11.95,23555,1265,3200,15,USB-C Char
145165,27in FHD Monitor,1,149.99,2019-01-01 09:58:00,January,149.99,7429,412,950,2,27in FHD M
142439,Flatscreen TV,1,300.0,2019-01-01 09:58:00,January,300.0,4724,240,657,8,Flatscreen
146100,Wired Headphones,1,11.99,2019-01-01 10:02:00,January,11.99,20201,1057,2714,17,Wired Head
149929,27in 4K Gaming Monitor,1,389.99,2019-01-01 10:02:00,January,389.99,6134,308,851,1,27in 4K Ga
143342,USB-C Charging Cable,1,11.95,2019-01-01 10:06:00,January,11.95,23555,1265,3200,15,USB-C Char
143699,27in 4K Gaming Monitor,1,389.99,2019-01-01 10:08:00,January,389.99,6134,308,851,1,27in 4K Ga
149579,Macbook Pro Laptop,1,1700.0,2019-01-01 10:09:00,January,1700.0,4645,233,636,13,Macbook Pr
142534,AA Batteries (4-pack),3,3.84,2019-01-01 10:11:00,January,11.52,27148,1398,3672,4,AA Batteri
148978,USB-C Charging Cable,1,11.95,2019-01-01 10:12:00,January,11.95,23555,1265,3200,15,USB-C Char
145526,ThinkPad Laptop,1,999.99,2019-01-01 10:16:00,January,999.99,4054,214,531,14,ThinkPad L
141613,AAA Batteries (4-pack),1,2.99,2019-01-01 10:21:00,January,2.99,30487,1562,4188,5,AAA Batter
144902,27in 4K Gaming Monitor,1,389.99,2019-01-01 10:23:00,January,389.99,6134,308,851,1,27in 4K Ga
142264,LG Dryer,1,600.0,2019-01-01 10:27:00,January,600.0,640,39,86,10,LG Dryer
141242,Bose SoundSport Headphones,1,99.99,2019-01-01 10:30:00,January,99.99,13236,644,1807,7,Bose Sound
144505,Apple Airpods Headphones,1,150.0,2019-01-01 10:31:00,January,150.0,15383,798,2057,6,Apple Airp
145769,Apple Airpods Headphones,1,150.0,2019-01-01 10:32:00,January,150.0,15383,798,2057,6,Apple Airp
148060,AAA Batteries (4-pack),1,2.99,2019-01-01 10:40:00,January,2.99,30487,1562,4188,5,AAA Batter
141319,Bose SoundSport Headphones,1,99.99,2019-01-01 10:43:00,January,99.99,13236,644,1807,7,Bose Sound
143540,Apple Airpods Headphones,1,150.0,2019-01-01 10:49:00,January,150.0,15383,798,2057,6,Apple Airp
147963,Flatscreen TV,1,300.0,2019-01-01 11:00:00,January,300.0,4724,240,657,8,Flatscreen
141663,iPhone,1,700.0,2019-01-01 11:01:00,January,700.0,6732,372,895,18,iPhone
147013,AAA Batteries (4-pack),1,2.99,2019-01-01 11:07:00,January,2.99,30487,1562,4188,5,AAA Batter
144284,AAA Batteries (4-pack),2,2.99,2019-01-01 11:09:00,January,5.98,30487,1562,4188,5,AAA Batter
147574,Google Phone,1,600.0,2019-01-01 11:10:00,January,600.0,5440,312,706,9,Google Pho
143715,USB-C Charging Cable,1,11.95,2019-01-01 11:16:00,January,11.95,23555,1265,3200,15,USB-C Char
141350,Lightning Charging Cable,1,14.95,2019-01-01 11:17:00,January,14.95,22841,1132,3052,12,Lightning 
146549,AA Batteries (4-pack),1,3.84,2019-01-01 11:21:00,January,3.84,27148,1398,3672,4,AA Batteri
148074,Google Phone,1,600.0,2019-01-01 11:25:00,January,600.0,5440,312,706,9,Google Pho
148074,USB-C Charging Cable,1,11.95,2019-01-01 11:25:00,January,11.95,23555,1265,3200,15,USB-C Char
146899,Macbook Pro Laptop,1,1700.0,2019-01-01 11:31:00,January,1700.0,4645,233,636,13,Macbook Pr
144752,27in 4K Gaming Monitor,1,389.99,2019-01-01 11:34:00,January,389.99,6134,308,851,1,27in 4K Ga
149996,34in Ultrawide Monitor,1,379.99,2019-01-01 11:35:00,January,379.99,6076,305,842,3,34in Ultra
149783,USB-C Charging Cable,1,11.95,2019-01-01 11:36:00,January,11.95,23555,1265,3200,15,USB-C Char
147308,USB-C Charging Cable,1,11.95,2019-01-01 11:36:00,January,11.95,23555,1265,3200,15,USB-C Char
141518,Lightning Charging Cable,1,14.95,2019-01-01 11:41:00,January,14.95,22841,1132,3052,12,Lightning 
146243,27in FHD Monitor,1,149.99,2019-01-01 11:43:00,January,149.99,7429,412,950,2,27in FHD M
147386,USB-C Charging Cable,1,11.95,2019-01-01 11:44:00,January,11.95,23555,1265,3200,15,USB-C Char
144231,Wired Headphones,1,11.99,2019-01-01 11:48:00,January,11.99,20201,1057,2714,17,Wired Head
146844,Flatscreen TV,1,300.0,2019-01-01 11:55:00,January,300.0,4724,240,657,8,Flatscreen
142160,Wired Headphones,1,11.99,2019-01-01 11:57:00,January,11.99,20201,1057,2714,17,Wired Head
148072,Flatscreen TV,1,300.0,2019-01-01 12:00:00,January,300.0,4724,240,657,8,Flatscreen
148450,Lightning Charging Cable,1,14.95,2019-01-01 12:02:00,January,14.95,22841,1132,3052,12,Lightning 
148450,iPhone,1,700.0,2019-01-01 12:02:00,January,700.0,6732,372,895,18,iPhone
143674,Wired Headphones,2,11.99,2019-01-01 12:06:00,January,23.98,20201,1057,2714,17,Wired Head
146590,AA Batteries (4-pack),3,3.84,2019-01-01 12:09:00,January,11.52,27148,1398,3672,4,AA Batteri
149492,AA Batteries (4-pack),1,3.84,2019-01-01 12:11:00,January,3.84,27148,1398,3672,4,AA Batteri
141558,27in 4K Gaming Monitor,1,389.99,2019-01-01 12:14:00,January,389.99,6134,308,851,1,27in 4K Ga
142257,iPhone,1,700.0,2019-01-01 12:16:00,January,700.0,6732,372,895,18,iPhone
142294,34in Ultrawide Monitor,1,379.99,2019-01-01 12:17:00,January,379.99,6076,305,842,3,34in Ultra
149524,AA Batteries (4-pack),1,3.84,2019-01-01 12:28:00,January,3.84,27148,1398,3672,4,AA Batteri
146857,Flatscreen TV,1,300.0,2019-01-01 12:35:00,January,300.0,4724,240,657,8,Flatscreen
142914,iPhone,1,700.0,2019-01-01 12:35:00,January,700.0,6732,372,895,18,iPhone
146431,Lightning Charging Cable,1,14.95,2019-01-01 12:39:00,January,14.95,22841,1132,3052,12,Lightning 
150038,20in Monitor,1,109.99,2019-01-01 12:50:00,January,109.99,4058,216,563,0,20in Monit
144679,Google Phone,1,600.0,2019-01-01 12:51:00,January,600.0,5440,312,706,9,Google Pho
144679,USB-C Charging Cable,1,11.95,2019-01-01 12:51:00,January,11.95,23555,1265,3200,15,USB-C Char
147451,Google Phone,1,600.0,2019-01-01 12:57:00,January,600.0,5440,312,706,9,Google Pho
147451,Wired Headphones,1,11.99,2019-01-01 12:57:00,January,11.99,20201,1057,2714,17,Wired Head
147932,Macbook Pro Laptop,1,1700.0,2019-01-01 12:59:00,January,1700.0,4645,233,636,13,Macbook Pr
142178,AAA Batteries (4-pack),1,2.99,2019-01-01 12:59:00,January,2.99,30487,1562,4188,5,AAA Batter
145319,Apple Airpods Headphones,1,150.0,2019-01-01 13:05:00,January,150.0,15383,798,2057,6,Apple Airp
144460,Apple Airpods Headphones,1,150.0,2019-01-01 13:08:00,January,150.0,15383,798,2057,6,Apple Airp
149912,Wired Headphones,1,11.99,2019-01-01 13:10:00,January,11.99,20201,1057,2714,17,Wired Head
149298,Bose SoundSport Headphones,1,99.99,2019-01-01 13:14:00,January,99.99,13236,644,1807,7,Bose Sound
143897,Google Phone,1,600.0,2019-01-01 13:15:00,January,600.0,5440,312,706,9,Google Pho
142714,LG Washing Machine,1,600.0,2019-01-01 13:15:00,January,600.0,649,39,78,11,LG Washing
145014,AAA Batteries (4-pack),2,2.99,2019-01-01 13:18:00,January,5.98,30487,1562,4188,5,AAA Batter
150236,Lightning Charging Cable,1,14.95,2019-01-01 13:21:00,January,14.95,22841,1132,3052,12,Lightning 
148866,AAA Batteries (4-pack),2,2.99,2019-01-01 13:25:00,January,5.98,30487,1562,4188,5,AAA Batter
142015,Apple Airpods Headphones,1,150.0,2019-01-01 13:26:00,January,150.0,15383,798,2057,6,Apple Airp
143738,Lightning Charging Cable,1,14.95,2019-01-01 13:29:00,January,14.95,22841,1132,3052,12,Lightning 
143738,iPhone,1,700.0,2019-01-01 13:29:00,January,700.0,6732,372,895,18,iPhone
147424,AAA Batteries (4-pack),1,2.99,2019-01-01 13:30:00,January,2.99,30487,1562,4188,5,AAA Batter
142947,AA Batteries (4-pack),1,3.84,2019-01-01 13:31:00,January,3.84,27148,1398,3672,4,AA Batteri
141533,34in Ultrawide Monitor,1,379.99,2019-01-01 13:34:00,January,379.99,6076,305,842,3,34in Ultra
143547,iPhone,1,700.0,2019-01-01 13:36:00,January,700.0,6732,372,895,18,iPhone
148287,Lightning Charging Cable,1,14.95,2019-01-01 13:47:00,January,14.95,22841,1132,3052,12,Lightning 
142822,Lightning Charging Cable,1,14.95,2019-01-01 13:51:00,January,14.95,22841,1132,3052,12,Lightning 
142112,20in Monitor,1,109.99,2019-01-01 13:51:00,January,109.99,4058,216,563,0,20in Monit
142112,Bose SoundSport Headphones,1,99.99,2019-01-01 13:51:00,January,99.99,13236,644,1807,7,Bose Sound
141333,27in FHD Monitor,1,149.99,2019-01-01 13:58:00,January,149.99,7429,412,950,2,27in FHD M
143610,27in FHD Monitor,1,149.99,2019-01-01 13:58:00,January,149.99,7429,412,950,2,27in FHD M
149509,ThinkPad Laptop,1,999.99,2019-01-01 14:04:00,January,999.99,4054,214,531,14,ThinkPad L
144641,Lightning Charging Cable,2,14.95,2019-01-01 14:06:00,January,29.9,22841,1132,3052,12,Lightning 
147462,USB-C Charging Cable,1,11.95,2019-01-01 14:07:00,January,11.95,23555,1265,3200,15,USB-C Char
147198,Google Phone,1,600.0,2019-01-01 14:12:00,January,600.0,5440,312,706,9,Google Pho
147198,USB-C Charging Cable,1,11.95,2019-01-01 14:12:00,January,11.95,23555,1265,3200,15,USB-C Char
141705,Apple Airpods Headphones,1,150.0,2019-01-01 14:15:00,January,150.0,15383,798,2057,6,Apple Airp
147095,AAA Batteries (4-pack),2,2.99,2019-01-01 14:17:00,January,5.98,30487,1562,4188,5,AAA Batter
147045,Flatscreen TV,1,300.0,2019-01-01 14:20:00,January,300.0,4724,240,657,8,Flatscreen
141644,AAA Batteries (4-pack),1,2.99,2019-01-01 14:21:00,January,2.99,30487,1562,4188,5,AAA Batter
148133,34in Ultrawide Monitor,1,379.99,2019-01-01 14:23:00,January,379.99,6076,305,842,3,34in Ultra
143130,27in FHD Monitor,1,149.99,2019-01-01 14:24:00,January,149.99,7429,412,950,2,27in FHD M
150311,Flatscreen TV,1,300.0,2019-01-01 14:25:00,January,300.0,4724,240,657,8,Flatscreen
148757,AA Batteries (4-pack),1,3.84,2019-01-01 14:26:00,January,3.84,27148,1398,3672,4,AA Batteri
144857,20in Monitor,1,109.99,2019-01-01 14:29:00,January,109.99,4058,216,563,0,20in Monit
144858,34in Ultrawide Monitor,1,379.99,2019-01-01 14:29:00,January,379.99,6076,305,842,3,34in Ultra
147220,Wired Headphones,1,11.99,2019-01-01 14:30:00,January,11.99,20201,1057,2714,17,Wired Head
148085,USB-C Charging Cable,1,11.95,2019-01-01 14:31:00,January,11.95,23555,1265,3200,15,USB-C Char
143394,Wired Headphones,1,11.99,2019-01-01 14:32:00,January,11.99,20201,1057,2714,17,Wired Head
150335,Apple Airpods Headphones,1,150.0,2019-01-01 14:32:00,January,150.0,15383,798,2057,6,Apple Airp
142350,Wired Headphones,1,11.99,2019-01-01 14:33:00,January,11.99,20201,1057,2714,17,Wired Head
141647,20in Monitor,1,109.99,2019-01-01 14:36:00,January,109.99,4058,216,563,0,20in Monit
