order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
219817,Lightning Charging Cable,2,14.95,2019-07-01 00:31:00,July,29.9,22841,1776,1655,12
213699,Wired Headphones,1,11.99,2019-07-01 00:31:00,July,11.99,20201,1539,1440,17
218482,USB-C Charging Cable,2,11.95,2019-07-01 00:48:00,July,23.9,23555,1818,1636,15
212604,27in FHD Monitor,1,149.99,2019-07-01 00:50:00,July,149.99,7429,598,562,2
222076,ThinkPad Laptop,1,999.99,2019-07-01 00:52:00,July,999.99,4054,310,310,14
211665,27in FHD Monitor,1,149.99,2019-07-01 00:54:00,July,149.99,7429,598,562,2
214099,USB-C Charging Cable,1,11.95,2019-07-01 01:29:00,July,11.95,23555,1818,1636,15
214099,Wired Headphones,1,11.99,2019-07-01 01:29:00,July,11.99,20201,1539,1440,17
220114,Lightning Charging Cable,1,14.95,2019-07-01 01:31:00,July,14.95,22841,1776,1655,12
222740,Wired Headphones,1,11.99,2019-07-01 01:35:00,July,11.99,20201,1539,1440,17
221856,AA Batteries (4-pack),1,3.84,2019-07-01 01:39:00,July,3.84,27148,2036,2072,4
220353,Bose SoundSport Headphones,1,99.99,2019-07-01 02:03:00,July,99.99,13236,1039,972,7
211790,AAA Batteries (4-pack),2,2.99,2019-07-01 02:05:00,July,5.98,30487,2331,2114,5
216431,Vareebadd Phone,1,400.0,2019-07-01 02:53:00,July,400.0,2023,144,153,16
216431,Google Phone,1,600.0,2019-07-01 02:53:00,July,600.0,5440,402,378,9
214986,Bose SoundSport Headphones,1,99.99,2019-07-01 02:59:00,July,99.99,13236,1039,972,7
218457,27in 4K Gaming Monitor,1,389.99,2019-07-01 03:09:00,July,389.99,6134,476,435,1
224904,20in Monitor,1,109.99,2019-07-01 06:08:00,July,109.99,4058,319,316,0
232807,USB-C Charging Cable,1,11.95,2019-07-01 06:22:00,July,11.95,23555,1818,1636,15
226094,Apple Airpods Headphones,1,150.0,2019-07-01 06:30:00,July,150.0,15383,1199,1149,6
226094,Lightning Charging Cable,1,14.95,2019-07-01 06:30:00,July,14.95,22841,1776,1655,12
233686,AAA Batteries (4-pack),1,2.99,2019-07-01 06:31:00,July,2.99,30487,2331,2114,5
235540,AA Batteries (4-pack),1,3.84,2019-07-01 06:44:00,July,3.84,27148,2036,2072,4
225939,AA Batteries (4-pack),2,3.84,2019-07-01 06:45:00,July,7.68,27148,2036,2072,4
223683,Lightning Charging Cable,1,14.95,2019-07-01 06:48:00,July,14.95,22841,1776,1655,12
228974,Apple Airpods Headphones,1,150.0,2019-07-01 06:52:00,July,150.0,15383,1199,1149,6
226820,AA Batteries (4-pack),2,3.84,2019-07-01 06:55:00,July,7.68,27148,2036,2072,4
234110,AA Batteries (4-pack),2,3.84,2019-07-01 06:58:00,July,7.68,27148,2036,2072,4
224849,Lightning Charging Cable,1,14.95,2019-07-01 07:06:00,July,14.95,22841,1776,1655,12
228092,Macbook Pro Laptop,1,1700.0,2019-07-01 07:12:00,July,1700.0,4645,357,348,13
223595,AAA Batteries (4-pack),1,2.99,2019-07-01 07:14:00,July,2.99,30487,2331,2114,5
236055,USB-C Charging Cable,1,11.95,2019-07-01 07:20:00,July,11.95,23555,1818,1636,15
229939,Wired Headphones,1,11.99,2019-07-01 07:25:00,July,11.99,20201,1539,1440,17
235333,Macbook Pro Laptop,1,1700.0,2019-07-01 07:28:00,July,1700.0,4645,357,348,13
228116,Macbook Pro Laptop,1,1700.0,2019-07-01 07:36:00,July,1700.0,4645,357,348,13
