order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
196639,USB-C Charging Cable,1,11.95,2019-06-01 00:18:00,June,11.95,23555,1636,2040,15
196072,Lightning Charging Cable,1,14.95,2019-06-01 00:18:00,June,14.95,22841,1655,2039,12
200917,20in Monitor,1,109.99,2019-06-01 00:36:00,June,109.99,4058,316,335,0
199098,AA Batteries (4-pack),2,3.84,2019-06-01 00:50:00,June,7.68,27148,2072,2336,4
204610,AAA Batteries (4-pack),3,2.99,2019-06-01 00:51:00,June,8.97,30487,2114,2875,5
197698,Google Phone,1,600.0,2019-06-01 01:03:00,June,600.0,5440,378,475,9
195869,AAA Batteries (4-pack),1,2.99,2019-06-01 01:06:00,June,2.99,30487,2114,2875,5
202460,Bose SoundSport Headphones,1,99.99,2019-06-01 01:29:00,June,99.99,13236,972,1154,7
203763,USB-C Charging Cable,1,11.95,2019-06-01 01:40:00,June,11.95,23555,1636,2040,15
204190,Wired Headphones,1,11.99,2019-06-01 01:46:00,June,11.99,20201,1440,1854,17
196638,Vareebadd Phone,1,400.0,2019-06-01 01:51:00,June,400.0,2023,153,180,16
203980,USB-C Charging Cable,1,11.95,2019-06-01 02:20:00,June,11.95,23555,1636,2040,15
196132,Lightning Charging Cable,1,14.95,2019-06-01 02:48:00,June,14.95,22841,1655,2039,12
203973,iPhone,1,700.0,2019-06-01 03:05:00,June,700.0,6732,523,627,18
205619,34in Ultrawide Monitor,1,379.99,2019-06-01 03:22:00,June,379.99,6076,445,532,3
195748,27in FHD Monitor,1,149.99,2019-06-01 03:26:00,June,149.99,7429,562,675,2
217932,Lightning Charging Cable,2,14.95,2019-06-01 04:52:00,June,29.9,22841,1655,2039,12
220585,Apple Airpods Headphones,1,150.0,2019-06-01 05:16:00,June,150.0,15383,1149,1333,6
209977,AA Batteries (4-pack),1,3.84,2019-06-01 06:28:00,June,3.84,27148,2072,2336,4
222469,iPhone,1,700.0,2019-06-01 06:37:00,June,700.0,6732,523,627,18
222469,Lightning Charging Cable,1,14.95,2019-06-01 06:37:00,June,14.95,22841,1655,2039,12
217114,AA Batteries (4-pack),1,3.84,2019-06-01 07:16:00,June,3.84,27148,2072,2336,4
211310,Apple Airpods Headphones,1,150.0,2019-06-01 07:17:00,June,150.0,15383,1149,1333,6
214847,Lightning Charging Cable,1,14.95,2019-06-01 07:19:00,June,14.95,22841,1655,2039,12
218881,34in Ultrawide Monitor,1,379.99,2019-06-01 07:40:00,June,379.99,6076,445,532,3
221296,Lightning Charging Cable,1,14.95,2019-06-01 07:41:00,June,14.95,22841,1655,2039,12
214906,AA Batteries (4-pack),1,3.84,2019-06-01 08:00:00,June,3.84,27148,2072,2336,4
220943,Apple Airpods Headphones,1,150.0,2019-06-01 08:08:00,June,150.0,15383,1149,1333,6
217920,AAA Batteries (4-pack),2,2.99,2019-06-01 08:10:00,June,5.98,30487,2114,2875,5
210997,Wired Headphones,2,11.99,2019-06-01 08:19:00,June,23.98,20201,1440,1854,17
210332,Wired Headphones,1,11.99,2019-06-01 08:25:00,June,11.99,20201,1440,1854,17
220553,AAA Batteries (4-pack),1,2.99,2019-06-01 08:26:00,June,2.99,30487,2114,2875,5
216600,AAA Batteries (4-pack),1,2.99,2019-06-01 08:33:00,June,2.99,30487,2114,2875,5
214116,Wired Headphones,1,11.99,2019-06-01 08:36:00,June,11.99,20201,1440,1854,17
212853,Wired Headphones,1,11.99,2019-06-01 08:37:00,June,11.99,20201,1440,1854,17
218226,USB-C Charging Cable,1,11.95,2019-06-01 08:37:00,June,11.95,23555,1636,2040,15
218283,Apple Airpods Headphones,1,150.0,2019-06-01 08:38:00,June,150.0,15383,1149,1333,6
222870,AA Batteries (4-pack),2,3.84,2019-06-01 08:47:00,June,7.68,27148,2072,2336,4
211024,Bose SoundSport Headphones,1,99.99,2019-06-01 08:49:00,June,99.99,13236,972,1154,7
222060,AAA Batteries (4-pack),1,2.99,2019-06-01 08:54:00,June,2.99,30487,2114,2875,5
218542,AAA Batteries (4-pack),2,2.99,2019-06-01 08:57:00,June,5.98,30487,2114,2875,5
219917,USB-C Charging Cable,1,11.95,2019-06-01 08:59:00,June,11.95,23555,1636,2040,15
