order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
160198,Apple Airpods Headphones,1,150.0,2019-03-01 00:29:00,March,150.0,15383,1300,990,6
150541,AAA Batteries (4-pack),1,2.99,2019-03-01 01:03:00,March,2.99,30487,2418,1930,5
160204,Bose SoundSport Headphones,1,99.99,2019-03-01 01:04:00,March,99.99,13236,1180,829,7
160965,AA Batteries (4-pack),2,3.84,2019-03-01 01:25:00,March,7.68,27148,2176,1699,4
153869,ThinkPad Laptop,1,999.99,2019-03-01 01:28:00,March,999.99,4054,338,267,14
157899,Flatscreen TV,1,300.0,2019-03-01 01:41:00,March,300.0,4724,352,305,8
151749,Bose SoundSport Headphones,1,99.99,2019-03-01 01:54:00,March,99.99,13236,1180,829,7
158335,27in 4K Gaming Monitor,1,389.99,2019-03-01 02:01:00,March,389.99,6134,473,415,1
153544,Bose SoundSport Headphones,1,99.99,2019-03-01 02:03:00,March,99.99,13236,1180,829,7
160238,AAA Batteries (4-pack),1,2.99,2019-03-01 02:08:00,March,2.99,30487,2418,1930,5
150812,Wired Headphones,1,11.99,2019-03-01 02:18:00,March,11.99,20201,1634,1257,17
156429,USB-C Charging Cable,1,11.95,2019-03-01 02:29:00,March,11.95,23555,1907,1623,15
150533,AAA Batteries (4-pack),1,2.99,2019-03-01 03:06:00,March,2.99,30487,2418,1930,5
159347,AAA Batteries (4-pack),1,2.99,2019-03-01 03:10:00,March,2.99,30487,2418,1930,5
175045,USB-C Charging Cable,1,11.95,2019-03-01 03:15:00,March,11.95,23555,1907,1623,15
153284,Wired Headphones,1,11.99,2019-03-01 03:47:00,March,11.99,20201,1634,1257,17
158262,Wired Headphones,1,11.99,2019-03-01 03:49:00,March,11.99,20201,1634,1257,17
170411,Wired Headphones,1,11.99,2019-03-01 04:23:00,March,11.99,20201,1634,1257,17
171218,USB-C Charging Cable,1,11.95,2019-03-01 04:42:00,March,11.95,23555,1907,1623,15
173057,iPhone,1,700.0,2019-03-01 05:40:00,March,700.0,6732,529,433,18
165475,AA Batteries (4-pack),1,3.84,2019-03-01 05:41:00,March,3.84,27148,2176,1699,4
168270,Bose SoundSport Headphones,1,99.99,2019-03-01 05:46:00,March,99.99,13236,1180,829,7
174838,USB-C Charging Cable,2,11.95,2019-03-01 05:52:00,March,23.9,23555,1907,1623,15
152036,ThinkPad Laptop,1,999.99,2019-03-01 05:56:00,March,999.99,4054,338,267,14
169102,AAA Batteries (4-pack),1,2.99,2019-03-01 06:00:00,March,2.99,30487,2418,1930,5
166654,27in 4K Gaming Monitor,1,389.99,2019-03-01 06:13:00,March,389.99,6134,473,415,1
171709,27in FHD Monitor,1,149.99,2019-03-01 06:39:00,March,149.99,7429,606,467,2
173116,AA Batteries (4-pack),1,3.84,2019-03-01 06:45:00,March,3.84,27148,2176,1699,4
174994,Lightning Charging Cable,1,14.95,2019-03-01 06:59:00,March,14.95,22841,1846,1447,12
175258,Apple Airpods Headphones,1,150.0,2019-03-01 07:01:00,March,150.0,15383,1300,990,6
176490,USB-C Charging Cable,1,11.95,2019-03-01 07:06:00,March,11.95,23555,1907,1623,15
175202,Lightning Charging Cable,1,14.95,2019-03-01 07:10:00,March,14.95,22841,1846,1447,12
174729,Wired Headphones,1,11.99,2019-03-01 07:14:00,March,11.99,20201,1634,1257,17
167994,AAA Batteries (4-pack),1,2.99,2019-03-01 07:15:00,March,2.99,30487,2418,1930,5
163979,Apple Airpods Headphones,1,150.0,2019-03-01 07:37:00,March,150.0,15383,1300,990,6
166999,USB-C Charging Cable,1,11.95,2019-03-01 07:39:00,March,11.95,23555,1907,1623,15
176406,AA Batteries (4-pack),1,3.84,2019-03-01 07:49:00,March,3.84,27148,2176,1699,4
168265,iPhone,1,700.0,2019-03-01 07:55:00,March,700.0,6732,529,433,18
175486,AAA Batteries (4-pack),1,2.99,2019-03-01 07:56:00,March,2.99,30487,2418,1930,5
164180,Lightning Charging Cable,1,14.95,2019-03-01 07:57:00,March,14.95,22841,1846,1447,12
163894,iPhone,1,700.0,2019-03-01 08:02:00,March,700.0,6732,529,433,18
172972,34in Ultrawide Monitor,1,379.99,2019-03-01 08:04:00,March,379.99,6076,511,409,3
172932,Lightning Charging Cable,1,14.95,2019-03-01 08:22:00,March,14.95,22841,1846,1447,12
170198,ThinkPad Laptop,1,999.99,2019-03-01 08:28:00,March,999.99,4054,338,267,14
171960,Lightning Charging Cable,1,14.95,2019-03-01 08:30:00,March,14.95,22841,1846,1447,12
163654,USB-C Charging Cable,1,11.95,2019-03-01 08:42:00,March,11.95,23555,1907,1623,15
171362,USB-C Charging Cable,1,11.95,2019-03-01 08:45:00,March,11.95,23555,1907,1623,15
166865,34in Ultrawide Monitor,1,379.99,2019-03-01 08:46:00,March,379.99,6076,511,409,3
168555,Wired Headphones,1,11.99,2019-03-01 08:47:00,March,11.99,20201,1634,1257,17
175437,Lightning Charging Cable,1,14.95,2019-03-01 08:50:00,March,14.95,22841,1846,1447,12
169491,AA Batteries (4-pack),1,3.84,2019-03-01 08:50:00,March,3.84,27148,2176,1699,4
169158,27in FHD Monitor,1,149.99,2019-03-01 08:55:00,March,149.99,7429,606,467,2
165646,Lightning Charging Cable,1,14.95,2019-03-01 08:56:00,March,14.95,22841,1846,1447,12
166290,AA Batteries (4-pack),1,3.84,2019-03-01 08:57:00,March,3.84,27148,2176,1699,4
165840,Flatscreen TV,1,300.0,2019-03-01 08:59:00,March,300.0,4724,352,305,8
165037,Lightning Charging Cable,1,14.95,2019-03-01 09:00:00,March,14.95,22841,1846,1447,12
