order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
191156,Wired Headphones,1,11.99,2019-05-01 00:03:00,May,11.99,20201,1854,2033,17
184408,Bose SoundSport Headphones,1,99.99,2019-05-01 00:04:00,May,99.99,13236,1154,1266,7
177551,27in FHD Monitor,1,149.99,2019-05-01 00:13:00,May,149.99,7429,675,726,2
179076,Google Phone,1,600.0,2019-05-01 00:17:00,May,600.0,5440,475,568,9
179076,USB-C Charging Cable,1,11.95,2019-05-01 00:17:00,May,11.95,23555,2040,2225,15
188615,20in Monitor,1,109.99,2019-05-01 00:31:00,May,109.99,4058,335,387,0
181248,AA Batteries (4-pack),2,3.84,2019-05-01 00:38:00,May,7.68,27148,2336,2769,4
183813,Wired Headphones,1,11.99,2019-05-01 00:39:00,May,11.99,20201,1854,2033,17
182822,34in Ultrawide Monitor,1,379.99,2019-05-01 00:46:00,May,379.99,6076,532,640,3
177778,iPhone,1,700.0,2019-05-01 00:48:00,May,700.0,6732,627,683,18
177778,Apple Airpods Headphones,1,150.0,2019-05-01 00:48:00,May,150.0,15383,1333,1491,6
191774,AA Batteries (4-pack),1,3.84,2019-05-01 00:51:00,May,3.84,27148,2336,2769,4
189806,Macbook Pro Laptop,1,1700.0,2019-05-01 00:52:00,May,1700.0,4645,460,447,13
180989,Apple Airpods Headphones,1,150.0,2019-05-01 00:54:00,May,150.0,15383,1333,1491,6
192718,ThinkPad Laptop,1,999.99,2019-05-01 00:54:00,May,999.99,4054,365,386,14
180017,Bose SoundSport Headphones,1,99.99,2019-05-01 00:58:00,May,99.99,13236,1154,1266,7
191083,Apple Airpods Headphones,1,150.0,2019-05-01 01:02:00,May,150.0,15383,1333,1491,6
181029,Bose SoundSport Headphones,1,99.99,2019-05-01 01:27:00,May,99.99,13236,1154,1266,7
189805,Macbook Pro Laptop,1,1700.0,2019-05-01 01:31:00,May,1700.0,4645,460,447,13
190627,27in FHD Monitor,1,149.99,2019-05-01 01:36:00,May,149.99,7429,675,726,2
183669,ThinkPad Laptop,1,999.99,2019-05-01 02:02:00,May,999.99,4054,365,386,14
189545,20in Monitor,1,109.99,2019-05-01 02:06:00,May,109.99,4058,335,387,0
181688,ThinkPad Laptop,1,999.99,2019-05-01 02:07:00,May,999.99,4054,365,386,14
