order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
251243,Apple Airpods Headphones,1,150.0,2019-10-01 00:09:00,October,150.0,15383,1645,950,6
252403,AAA Batteries (4-pack),1,2.99,2019-10-01 00:11:00,October,2.99,30487,3308,1890,5
255354,Bose SoundSport Headphones,1,99.99,2019-10-01 00:20:00,October,99.99,13236,1444,809,7
252619,USB-C Charging Cable,1,11.95,2019-10-01 00:34:00,October,11.95,23555,2627,1566,15
252202,27in 4K Gaming Monitor,1,389.99,2019-10-01 00:43:00,October,389.99,6134,714,375,1
250275,ThinkPad Laptop,1,999.99,2019-10-01 00:46:00,October,999.99,4054,451,240,14
250139,USB-C Charging Cable,1,11.95,2019-10-01 00:53:00,October,11.95,23555,2627,1566,15
250139,Google Phone,1,600.0,2019-10-01 00:53:00,October,600.0,5440,588,336,9
258243,Bose SoundSport Headphones,1,99.99,2019-10-01 00:59:00,October,99.99,13236,1444,809,7
256859,AA Batteries (4-pack),1,3.84,2019-10-01 01:17:00,October,3.84,27148,2896,1719,4
248643,Lightning Charging Cable,1,14.95,2019-10-01 01:36:00,October,14.95,22841,2542,1408,12
254858,Lightning Charging Cable,1,14.95,2019-10-01 01:39:00,October,14.95,22841,2542,1408,12
254858,Wired Headphones,1,11.99,2019-10-01 01:39:00,October,11.99,20201,2237,1272,17
254858,iPhone,1,700.0,2019-10-01 01:39:00,October,700.0,6732,712,385,18
252164,Lightning Charging Cable,1,14.95,2019-10-01 01:46:00,October,14.95,22841,2542,1408,12
255614,Bose SoundSport Headphones,1,99.99,2019-10-01 02:18:00,October,99.99,13236,1444,809,7
259228,AA Batteries (4-pack),1,3.84,2019-10-01 02:55:00,October,3.84,27148,2896,1719,4
269590,ThinkPad Laptop,1,999.99,2019-10-01 03:12:00,October,999.99,4054,451,240,14
257017,AAA Batteries (4-pack),3,2.99,2019-10-01 03:14:00,October,8.97,30487,3308,1890,5
250684,AAA Batteries (4-pack),1,2.99,2019-10-01 03:38:00,October,2.99,30487,3308,1890,5
253168,20in Monitor,1,109.99,2019-10-01 04:06:00,October,109.99,4058,415,269,0
269164,20in Monitor,1,109.99,2019-10-01 04:24:00,October,109.99,4058,415,269,0
264038,Wired Headphones,1,11.99,2019-10-01 05:01:00,October,11.99,20201,2237,1272,17
276847,AAA Batteries (4-pack),4,2.99,2019-10-01 05:03:00,October,11.96,30487,3308,1890,5
276847,Wired Headphones,2,11.99,2019-10-01 05:03:00,October,23.98,20201,2237,1272,17
270526,Bose SoundSport Headphones,1,99.99,2019-10-01 05:11:00,October,99.99,13236,1444,809,7
275450,iPhone,1,700.0,2019-10-01 05:20:00,October,700.0,6732,712,385,18
273113,20in Monitor,1,109.99,2019-10-01 05:24:00,October,109.99,4058,415,269,0
259575,AAA Batteries (4-pack),3,2.99,2019-10-01 05:32:00,October,8.97,30487,3308,1890,5
266197,27in 4K Gaming Monitor,1,389.99,2019-10-01 06:05:00,October,389.99,6134,714,375,1
274581,Wired Headphones,1,11.99,2019-10-01 06:18:00,October,11.99,20201,2237,1272,17
263357,AAA Batteries (4-pack),1,2.99,2019-10-01 06:21:00,October,2.99,30487,3308,1890,5
261832,Wired Headphones,1,11.99,2019-10-01 06:29:00,October,11.99,20201,2237,1272,17
275825,Google Phone,1,600.0,2019-10-01 06:38:00,October,600.0,5440,588,336,9
271028,USB-C Charging Cable,1,11.95,2019-10-01 06:42:00,October,11.95,23555,2627,1566,15
262286,27in FHD Monitor,1,149.99,2019-10-01 06:49:00,October,149.99,7429,777,474,2
272055,AAA Batteries (4-pack),2,2.99,2019-10-01 07:02:00,October,5.98,30487,3308,1890,5
260149,Wired Headphones,2,11.99,2019-10-01 07:08:00,October,23.98,20201,2237,1272,17
268843,AAA Batteries (4-pack),1,2.99,2019-10-01 07:08:00,October,2.99,30487,3308,1890,5
274697,Wired Headphones,1,11.99,2019-10-01 07:23:00,October,11.99,20201,2237,1272,17
275593,20in Monitor,1,109.99,2019-10-01 07:25:00,October,109.99,4058,415,269,0
273374,27in 4K Gaming Monitor,1,389.99,2019-10-01 07:25:00,October,389.99,6134,714,375,1
274178,Lightning Charging Cable,1,14.95,2019-10-01 07:26:00,October,14.95,22841,2542,1408,12
276286,Wired Headphones,1,11.99,2019-10-01 07:26:00,October,11.99,20201,2237,1272,17
278240,Wired Headphones,1,11.99,2019-10-01 07:29:00,October,11.99,20201,2237,1272,17
269024,AA Batteries (4-pack),1,3.84,2019-10-01 07:30:00,October,3.84,27148,2896,1719,4
260135,34in Ultrawide Monitor,1,379.99,2019-10-01 07:35:00,October,379.99,6076,657,371,3
260135,AA Batteries (4-pack),1,3.84,2019-10-01 07:35:00,October,3.84,27148,2896,1719,4
274647,USB-C Charging Cable,1,11.95,2019-10-01 07:38:00,October,11.95,23555,2627,1566,15
263422,AAA Batteries (4-pack),1,2.99,2019-10-01 07:44:00,October,2.99,30487,3308,1890,5
275245,27in FHD Monitor,1,149.99,2019-10-01 07:46:00,October,149.99,7429,777,474,2
272347,20in Monitor,1,109.99,2019-10-01 07:47:00,October,109.99,4058,415,269,0
261606,AA Batteries (4-pack),1,3.84,2019-10-01 07:49:00,October,3.84,27148,2896,1719,4
264502,Flatscreen TV,1,300.0,2019-10-01 07:50:00,October,300.0,4724,516,285,8
275363,Google Phone,1,600.0,2019-10-01 07:59:00,October,600.0,5440,588,336,9
273443,USB-C Charging Cable,1,11.95,2019-10-01 08:00:00,October,11.95,23555,2627,1566,15
273443,Google Phone,1,600.0,2019-10-01 08:00:00,October,600.0,5440,588,336,9
266083,Apple Airpods Headphones,1,150.0,2019-10-01 08:03:00,October,150.0,15383,1645,950,6
262330,27in 4K Gaming Monitor,1,389.99,2019-10-01 08:08:00,October,389.99,6134,714,375,1
277468,Google Phone,1,600.0,2019-10-01 08:08:00,October,600.0,5440,588,336,9
269769,Lightning Charging Cable,1,14.95,2019-10-01 08:15:00,October,14.95,22841,2542,1408,12
264978,Apple Airpods Headphones,1,150.0,2019-10-01 08:17:00,October,150.0,15383,1645,950,6
270592,AAA Batteries (4-pack),2,2.99,2019-10-01 08:18:00,October,5.98,30487,3308,1890,5
269505,AA Batteries (4-pack),1,3.84,2019-10-01 08:19:00,October,3.84,27148,2896,1719,4
261264,27in 4K Gaming Monitor,1,389.99,2019-10-01 08:25:00,October,389.99,6134,714,375,1
276955,USB-C Charging Cable,1,11.95,2019-10-01 08:27:00,October,11.95,23555,2627,1566,15
273930,Apple Airpods Headphones,1,150.0,2019-10-01 08:31:00,October,150.0,15383,1645,950,6
265245,Lightning Charging Cable,1,14.95,2019-10-01 08:33:00,October,14.95,22841,2542,1408,12
268148,Lightning Charging Cable,1,14.95,2019-10-01 08:34:00,October,14.95,22841,2542,1408,12
262937,Google Phone,1,600.0,2019-10-01 08:38:00,October,600.0,5440,588,336,9
259612,USB-C Charging Cable,1,11.95,2019-10-01 08:41:00,October,11.95,23555,2627,1566,15
266219,Apple Airpods Headphones,1,150.0,2019-10-01 08:47:00,October,150.0,15383,1645,950,6
275123,Lightning Charging Cable,1,14.95,2019-10-01 08:48:00,October,14.95,22841,2542,1408,12
260968,AA Batteries (4-pack),2,3.84,2019-10-01 08:52:00,October,7.68,27148,2896,1719,4
261767,USB-C Charging Cable,1,11.95,2019-10-01 08:52:00,October,11.95,23555,2627,1566,15
271015,AAA Batteries (4-pack),1,2.99,2019-10-01 08:53:00,October,2.99,30487,3308,1890,5
265593,Wired Headphones,1,11.99,2019-10-01 08:53:00,October,11.99,20201,2237,1272,17
259608,27in 4K Gaming Monitor,1,389.99,2019-10-01 08:55:00,October,389.99,6134,714,375,1
277855,Lightning Charging Cable,1,14.95,2019-10-01 08:57:00,October,14.95,22841,2542,1408,12
275996,AA Batteries (4-pack),1,3.84,2019-10-01 08:57:00,October,3.84,27148,2896,1719,4
265158,Macbook Pro Laptop,1,1700.0,2019-10-01 08:58:00,October,1700.0,4645,516,284,13
269948,AA Batteries (4-pack),1,3.84,2019-10-01 08:58:00,October,3.84,27148,2896,1719,4
