order_id,product,quantity_ordered,price_each,order_date,month,total_sales,total_quantity_sold_all_months,quantity_sold_that_month,quantity_sold_last_month,product_encoded
241054,AAA Batteries (4-pack),1,2.99,2019-09-01 00:25:00,September,2.99,30487,1890,1989,5
244953,Lightning Charging Cable,1,14.95,2019-09-01 00:26:00,September,14.95,22841,1408,1417,12
243667,USB-C Charging Cable,1,11.95,2019-09-01 00:55:00,September,11.95,23555,1566,1432,15
246139,20in Monitor,1,109.99,2019-09-01 01:00:00,September,109.99,4058,269,257,0
239285,34in Ultrawide Monitor,1,379.99,2019-09-01 01:09:00,September,379.99,6076,371,372,3
245176,Bose SoundSport Headphones,1,99.99,2019-09-01 01:13:00,September,99.99,13236,809,860,7
242865,27in FHD Monitor,1,149.99,2019-09-01 01:28:00,September,149.99,7429,474,483,2
240636,Lightning Charging Cable,1,14.95,2019-09-01 02:07:00,September,14.95,22841,1408,1417,12
242343,ThinkPad Laptop,1,999.99,2019-09-01 02:44:00,September,999.99,4054,240,269,14
245712,Apple Airpods Headphones,1,150.0,2019-09-01 02:48:00,September,150.0,15383,950,988,6
238834,Apple Airpods Headphones,1,150.0,2019-09-01 04:13:00,September,150.0,15383,950,988,6
246885,USB-C Charging Cable,1,11.95,2019-09-01 04:45:00,September,11.95,23555,1566,1432,15
248922,Apple Airpods Headphones,1,150.0,2019-09-01 05:10:00,September,150.0,15383,950,988,6
258065,AA Batteries (4-pack),4,3.84,2019-09-01 06:08:00,September,15.36,27148,1719,1800,4
257173,USB-C Charging Cable,1,11.95,2019-09-01 06:09:00,September,11.95,23555,1566,1432,15
251424,20in Monitor,1,109.99,2019-09-01 06:14:00,September,109.99,4058,269,257,0
248401,27in FHD Monitor,1,149.99,2019-09-01 06:40:00,September,149.99,7429,474,483,2
249624,AAA Batteries (4-pack),2,2.99,2019-09-01 06:47:00,September,5.98,30487,1890,1989,5
257406,27in FHD Monitor,1,149.99,2019-09-01 06:49:00,September,149.99,7429,474,483,2
252880,Macbook Pro Laptop,1,1700.0,2019-09-01 07:12:00,September,1700.0,4645,284,290,13
249422,Lightning Charging Cable,1,14.95,2019-09-01 07:14:00,September,14.95,22841,1408,1417,12
248766,Lightning Charging Cable,1,14.95,2019-09-01 07:23:00,September,14.95,22841,1408,1417,12
252373,AA Batteries (4-pack),2,3.84,2019-09-01 07:56:00,September,7.68,27148,1719,1800,4
255347,AAA Batteries (4-pack),1,2.99,2019-09-01 07:58:00,September,2.99,30487,1890,1989,5
252622,Wired Headphones,1,11.99,2019-09-01 08:05:00,September,11.99,20201,1272,1261,17
251889,USB-C Charging Cable,2,11.95,2019-09-01 08:05:00,September,23.9,23555,1566,1432,15
